EDAC,DE,Altenburg-Nobitz Airport,medium_airport,50.981945,12.506389
EDAH,DE,Heringsdorf Airport,medium_airport,53.8787002563,14.152299881
EDBM,DE,Magdeburg City Airport,medium_airport,52.073612,11.626389
EDBN,DE,Neubrandenburg Airport,medium_airport,53.6022,13.306
EDBR,DE,Rothenburg/Görlitz Airport,medium_airport,51.36333465576172,14.949999809265137
EDDB,DE,Berlin Brandenburg Airport,large_airport,52.351389,13.493889
EDDC,DE,Dresden Airport,large_airport,51.1328010559082,13.767200469970703
EDDE,DE,Erfurt Airport,medium_airport,50.979801177978516,10.958100318908691
EDDF,DE,Frankfurt am Main Airport,large_airport,50.033333,8.570556
EDDG,DE,Münster Osnabrück Airport,large_airport,52.134601593,7.68483018875
EDDH,DE,Hamburg Airport,large_airport,53.630401611328,9.9882297515869
EDDK,DE,Cologne Bonn Airport,large_airport,50.8658981323,7.1427397728
EDDL,DE,Düsseldorf Airport,large_airport,51.289501,6.76678
EDDM,DE,Munich Airport,large_airport,48.353802,11.7861
EDDN,DE,Nuremberg Airport,large_airport,49.498699,11.078056
EDDP,DE,Leipzig/Halle Airport,large_airport,51.423889,12.236389
EDDR,DE,Saarbrücken Airport,medium_airport,49.214599609400004,7.10950994492
EDDS,DE,Stuttgart Airport,large_airport,48.689899444599995,9.22196006775
EDDV,DE,Hannover Airport,large_airport,52.461101532,9.685079574580001
EDDW,DE,Bremen Airport,large_airport,53.0475006104,8.78666973114
EDFE,DE,Frankfurt-Egelsbach Airport,medium_airport,49.959999,8.645833
EDFH,DE,Frankfurt-Hahn Airport,medium_airport,49.9487,7.26389
EDFM,DE,Mannheim-City Airport,medium_airport,49.473057,8.514167
EDFZ,DE,Mainz-Finthen Airport,medium_airport,49.967499,8.147222
EDGE,DE,Eisenach-Kindel Airport,medium_airport,50.991604,10.47973
EDGS,DE,Siegerland Airport,medium_airport,50.707698822021484,8.082969665527344
EDHI,DE,Hamburg-Finkenwerder Airport,medium_airport,53.5352783203125,9.835556030273438
EDHK,DE,Kiel-Holtenau Airport,medium_airport,54.37944412231445,10.145277976989746
EDHL,DE,Lübeck Blankensee Airport,medium_airport,53.8054008484,10.7192001343
EDJA,DE,Memmingen Allgau Airport,medium_airport,47.988800048799995,10.2395000458
EDLN,DE,Mönchengladbach Airport,medium_airport,51.230278,6.504444
EDLP,DE,Paderborn Lippstadt Airport,medium_airport,51.614101409899995,8.616319656369999
EDLV,DE,Weeze Airport,medium_airport,51.6024017334,6.14216995239
EDLW,DE,Dortmund Airport,large_airport,51.51829910279999,7.61223983765
EDMA,DE,Augsburg Airport,medium_airport,48.425278,10.931667
EDMO,DE,Oberpfaffenhofen Airport,medium_airport,48.081402,11.2831
EDNY,DE,Friedrichshafen Airport,medium_airport,47.671298980699994,9.51148986816
EDOP,DE,Schwerin Parchim Airport,medium_airport,53.426998,11.7834
EDQA,DE,Airport Bamberg-Breitenau,medium_airport,49.920403,10.914233
EDQD,DE,Bayreuth Airport,medium_airport,49.985001,11.64
EDQM,DE,Hof-Plauen Airport,medium_airport,50.288612365722656,11.856389045715332
